word,meaning,wrong_choices,audioUrl
apple,りんご,バナナ;ぶどう;いちご;オレンジ;メロン,
book,本,ノート;新聞;雑誌;辞書;手紙,
bus,バス,電車;車;自転車;船;飛行機,
cat,猫,犬;鳥;馬;魚;牛,
dog,犬,猫;鳥;馬;魚;羊,
door,ドア,窓;机;椅子;鍵;壁,
drink,飲む,食べる;読む;書く;走る;寝る,
eat,食べる,飲む;読む;書く;歩く;買う,
family,家族,先生;友達;店;学校;会社,
father,父,母;兄;姉;息子;娘,
mother,母,父;兄;姉;祖父;祖母,
friend,友達,敵;先生;家族;お客;同僚,
school,学校,病院;図書館;公園;駅;会社,
student,学生,先生;医者;会社員;運転手;店員,
teacher,先生,学生;医者;警察官;歌手;料理人,
music,音楽,絵;映画;本;新聞;テレビ,
movie,映画,音楽;テレビ;劇;本;ニュース,
soccer,サッカー,野球;テニス;バスケ;水泳;卓球,
baseball,野球,サッカー;テニス;バレー;ラグビー;ゴルフ,
tennis,テニス,サッカー;野球;水泳;柔道;スキー,
morning,朝,昼;夜;夕方;午後;明日,
afternoon,午後,午前;朝;夜;夕方;明後日,
evening,夕方,朝;昼;夜;午後;今日,
water,水,お茶;牛乳;ジュース;コーヒー;氷,
food,食べ物,飲み物;果物;野菜;薬;道具,
read,読む,書く;話す;聞く;見る;買う,
write,書く,読む;話す;聞く;歩く;作る,
walk,歩く,走る;泳ぐ;乗る;飛ぶ;登る,
play,遊ぶ,勉強する;働く;寝る;掃除する;料理する,
city,町,村;国;川;山;海,
